date,country,city,market,product,price,unit,currency,source,collected_by
2026-06-09,benin,cotonou,market_4,blé,381.45,kg,XOF,field survey,agent_6
2026-06-09,benin,cotonou,market_5,riz,498.72,kg,XOF,field survey,agent_6
2026-06-09,benin,cotonou,market_1,huile,606.19,litre,XOF,field survey,agent_7
2026-06-09,benin,cotonou,market_3,sucre,718.99,kg,XOF,field survey,agent_4
2026-06-09,benin,cotonou,market_1,wheat,205.1,kg,XOF,field survey,agent_6
2026-06-09,benin,cotonou,market_3,lait,453.88,litre,XOF,field survey,agent_2
2026-06-09,benin,cotonou,market_5,œufs,541.38,douzaine,XOF,field survey,agent_8
2026-06-09,benin,cotonou,market_5,poisson,305.02,kg,XOF,field survey,agent_6
2026-06-09,benin,cotonou,market_3,haricots,215.07,kg,XOF,field survey,agent_8
2026-06-09,benin,cotonou,market_5,tomates,250.91,kg,XOF,field survey,agent_9
2026-06-09,benin,porto-novo,market_4,blé,317.04,kg,XOF,field survey,agent_1
2026-06-09,benin,porto-novo,market_1,riz,536.18,kg,XOF,field survey,agent_8
2026-06-09,benin,porto-novo,market_1,huile,151.51,litre,XOF,field survey,agent_3
2026-06-09,benin,porto-novo,market_2,sucre,398.73,kg,XOF,field survey,agent_9
2026-06-09,benin,porto-novo,market_3,wheat,512.28,kg,XOF,field survey,agent_9
2026-06-09,benin,porto-novo,market_3,lait,123.17,litre,XOF,field survey,agent_3
2026-06-09,benin,porto-novo,market_5,œufs,283.62,douzaine,XOF,field survey,agent_7
2026-06-09,benin,porto-novo,market_5,poisson,895.24,kg,XOF,field survey,agent_6
2026-06-09,benin,porto-novo,market_3,haricots,672.58,kg,XOF,field survey,agent_6
2026-06-09,benin,porto-novo,market_5,tomates,213.65,kg,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_4,blé,572.31,kg,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_3,riz,317.39,kg,XOF,field survey,agent_1
2026-06-09,benin,parakou,market_5,huile,174.0,litre,XOF,field survey,agent_1
2026-06-09,benin,parakou,market_4,sucre,689.18,kg,XOF,field survey,agent_2
2026-06-09,benin,parakou,market_2,wheat,107.3,kg,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_1,lait,592.33,litre,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_2,œufs,151.91,douzaine,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_4,poisson,176.14,kg,XOF,field survey,agent_8
2026-06-09,benin,parakou,market_4,haricots,506.95,kg,XOF,field survey,agent_1
2026-06-09,benin,parakou,market_3,tomates,174.44,kg,XOF,field survey,agent_9
2026-06-09,benin,abomey,market_1,blé,421.62,kg,XOF,field survey,agent_9
2026-06-09,benin,abomey,market_1,riz,404.65,kg,XOF,field survey,agent_1
2026-06-09,benin,abomey,market_3,huile,865.06,litre,XOF,field survey,agent_3
2026-06-09,benin,abomey,market_4,sucre,895.7,kg,XOF,field survey,agent_9
2026-06-09,benin,abomey,market_3,wheat,720.39,kg,XOF,field survey,agent_6
2026-06-09,benin,abomey,market_2,lait,476.33,litre,XOF,field survey,agent_2
2026-06-09,benin,abomey,market_1,œufs,275.98,douzaine,XOF,field survey,agent_8
2026-06-09,benin,abomey,market_2,poisson,360.74,kg,XOF,field survey,agent_6
2026-06-09,benin,abomey,market_2,haricots,811.08,kg,XOF,field survey,agent_8
2026-06-09,benin,abomey,market_3,tomates,981.63,kg,XOF,field survey,agent_2
2026-06-09,benin,bohicon,market_1,blé,290.94,kg,XOF,field survey,agent_7
2026-06-09,benin,bohicon,market_1,riz,897.57,kg,XOF,field survey,agent_2
2026-06-09,benin,bohicon,market_5,huile,543.03,litre,XOF,field survey,agent_9
2026-06-09,benin,bohicon,market_4,sucre,585.59,kg,XOF,field survey,agent_6
2026-06-09,benin,bohicon,market_4,wheat,283.64,kg,XOF,field survey,agent_5
2026-06-09,benin,bohicon,market_4,lait,675.8,litre,XOF,field survey,agent_7
2026-06-09,benin,bohicon,market_3,œufs,939.8,douzaine,XOF,field survey,agent_3
2026-06-09,benin,bohicon,market_5,poisson,316.66,kg,XOF,field survey,agent_4
2026-06-09,benin,bohicon,market_3,haricots,806.96,kg,XOF,field survey,agent_3
2026-06-09,benin,bohicon,market_5,tomates,553.93,kg,XOF,field survey,agent_4
2026-06-09,ghana,accra,market_1,blé,657.3,kg,GHS,field survey,agent_6
2026-06-09,ghana,accra,market_1,riz,476.43,kg,GHS,field survey,agent_5
2026-06-09,ghana,accra,market_5,huile,948.66,litre,GHS,field survey,agent_2
2026-06-09,ghana,accra,market_4,sucre,254.25,kg,GHS,field survey,agent_1
2026-06-09,ghana,accra,market_1,wheat,739.17,kg,GHS,field survey,agent_8
2026-06-09,ghana,accra,market_3,lait,849.89,litre,GHS,field survey,agent_2
2026-06-09,ghana,accra,market_1,œufs,428.05,douzaine,GHS,field survey,agent_9
2026-06-09,ghana,accra,market_3,poisson,707.54,kg,GHS,field survey,agent_6
2026-06-09,ghana,accra,market_1,haricots,637.94,kg,GHS,field survey,agent_8
2026-06-09,ghana,accra,market_4,tomates,479.96,kg,GHS,field survey,agent_9
2026-06-09,ghana,kumasi,market_2,blé,923.49,kg,GHS,field survey,agent_7
2026-06-09,ghana,kumasi,market_1,riz,115.19,kg,GHS,field survey,agent_7
2026-06-09,ghana,kumasi,market_1,huile,559.63,litre,GHS,field survey,agent_1
2026-06-09,ghana,kumasi,market_5,sucre,570.19,kg,GHS,field survey,agent_9
2026-06-09,ghana,kumasi,market_4,wheat,469.77,kg,GHS,field survey,agent_4
2026-06-09,ghana,kumasi,market_5,lait,586.46,litre,GHS,field survey,agent_2
2026-06-09,ghana,kumasi,market_4,œufs,787.35,douzaine,GHS,field survey,agent_4
2026-06-09,ghana,kumasi,market_1,poisson,980.26,kg,GHS,field survey,agent_9
2026-06-09,ghana,kumasi,market_3,haricots,413.77,kg,GHS,field survey,agent_2
2026-06-09,ghana,kumasi,market_4,tomates,592.05,kg,GHS,field survey,agent_5
2026-06-09,ghana,tamale,market_1,blé,408.39,kg,GHS,field survey,agent_5
2026-06-09,ghana,tamale,market_3,riz,528.58,kg,GHS,field survey,agent_2
2026-06-09,ghana,tamale,market_3,huile,835.84,litre,GHS,field survey,agent_5
2026-06-09,ghana,tamale,market_2,sucre,873.25,kg,GHS,field survey,agent_7
