date,country,city,market,product,price,unit,currency,source,collected_by
2026-06-09,benin,cotonou,market_2,blé,899.08,kg,XOF,field survey,agent_5
2026-06-09,benin,cotonou,market_5,riz,743.09,kg,XOF,field survey,agent_3
2026-06-09,benin,cotonou,market_3,huile,774.0,litre,XOF,field survey,agent_9
2026-06-09,benin,cotonou,market_1,sucre,676.98,kg,XOF,field survey,agent_3
2026-06-09,benin,cotonou,market_4,wheat,814.73,kg,XOF,field survey,agent_6
2026-06-09,benin,cotonou,market_5,lait,165.7,litre,XOF,field survey,agent_5
2026-06-09,benin,cotonou,market_1,œufs,957.56,douzaine,XOF,field survey,agent_1
2026-06-09,benin,cotonou,market_2,poisson,139.5,kg,XOF,field survey,agent_3
2026-06-09,benin,cotonou,market_5,haricots,707.07,kg,XOF,field survey,agent_8
2026-06-09,benin,cotonou,market_2,tomates,709.51,kg,XOF,field survey,agent_7
2026-06-09,benin,porto-novo,market_1,blé,400.29,kg,XOF,field survey,agent_2
2026-06-09,benin,porto-novo,market_2,riz,897.73,kg,XOF,field survey,agent_7
2026-06-09,benin,porto-novo,market_2,huile,423.73,litre,XOF,field survey,agent_3
2026-06-09,benin,porto-novo,market_3,sucre,770.82,kg,XOF,field survey,agent_2
2026-06-09,benin,porto-novo,market_3,wheat,165.26,kg,XOF,field survey,agent_4
2026-06-09,benin,porto-novo,market_1,lait,393.89,litre,XOF,field survey,agent_6
2026-06-09,benin,porto-novo,market_2,œufs,617.12,douzaine,XOF,field survey,agent_5
2026-06-09,benin,porto-novo,market_1,poisson,873.09,kg,XOF,field survey,agent_4
2026-06-09,benin,porto-novo,market_5,haricots,918.38,kg,XOF,field survey,agent_3
2026-06-09,benin,porto-novo,market_5,tomates,110.37,kg,XOF,field survey,agent_5
2026-06-09,benin,parakou,market_1,blé,177.38,kg,XOF,field survey,agent_8
2026-06-09,benin,parakou,market_2,riz,126.0,kg,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_1,huile,546.92,litre,XOF,field survey,agent_7
2026-06-09,benin,parakou,market_2,sucre,239.23,kg,XOF,field survey,agent_8
2026-06-09,benin,parakou,market_2,wheat,686.45,kg,XOF,field survey,agent_3
2026-06-09,benin,parakou,market_4,lait,978.17,litre,XOF,field survey,agent_9
2026-06-09,benin,parakou,market_5,œufs,197.6,douzaine,XOF,field survey,agent_4
2026-06-09,benin,parakou,market_3,poisson,942.14,kg,XOF,field survey,agent_6
2026-06-09,benin,parakou,market_5,haricots,582.71,kg,XOF,field survey,agent_4
2026-06-09,benin,parakou,market_5,tomates,807.76,kg,XOF,field survey,agent_9
2026-06-09,benin,abomey,market_4,blé,519.65,kg,XOF,field survey,agent_5
2026-06-09,benin,abomey,market_5,riz,217.19,kg,XOF,field survey,agent_4
2026-06-09,benin,abomey,market_5,huile,115.69,litre,XOF,field survey,agent_8
2026-06-09,benin,abomey,market_5,sucre,962.86,kg,XOF,field survey,agent_3
2026-06-09,benin,abomey,market_5,wheat,204.01,kg,XOF,field survey,agent_7
